Name,Likes,Activity,Local,Date,Hour,Weather
Alice,outdoor_activities,Movie Watching,Campbellfort,2023-09-28,01:58,Sunny
Bob,water_activities,Hot Spring Bath,North Stephanieport,2023-10-13,08:05,Windy
Alice,outdoor_activities,Beach Volleyball,Tinafurt,2023-09-24,16:47,Rainy
Charlie,sports_activities,Kite Flying,West Renee,2023-09-27,16:14,Cloudy
Charlie,sports_activities,Beach Volleyball,Michaelton,2023-10-11,20:05,Windy
Doe,night_activities,Hiking ,South Ryanview,2023-10-04,01:22,Sunny
Charlie,sports_activities,Movie Watching,East Joanne,2023-09-26,21:37,Sunny
Jane,artistic_activities,Movie Watching,Calderonport,2023-10-12,05:40,Windy
Doe,night_activities,Potluck Dinner,Williamsside,2023-10-14,17:23,Cloudy
Mallory,extreme_activities,Rock Climbing ,Lake Lindachester,2023-09-20,16:25,Windy
Alice,outdoor_activities,Spa Day  ,Harrisonborough,2023-10-02,07:22,Rainy
Jane,artistic_activities,Sewing,Williamborough,2023-10-10,18:31,Snowy
John,physical_activities,Hiking ,East Catherine,2023-10-04,02:53,Cloudy
Eve,home_activities,Facial Treatment,South William,2023-10-14,10:49,Rainy
Eve,home_activities,Dancing ,North Ashleyton,2023-10-07,18:43,Sunny
Doe,night_activities,Hiking ,Port Sandra,2023-10-10,04:14,Cloudy
Alice,outdoor_activities,Potluck Dinner,Leeborough,2023-10-08,23:57,Rainy
Alice,outdoor_activities,Beach Volleyball,North Corey,2023-09-16,18:28,Windy
Bob,water_activities,Rafting,Campbellmouth,2023-10-01,08:25,Rainy
Mallory,extreme_activities,Movie Watching,Vargasville,2023-10-03,23:18,Cloudy
Eve,home_activities,Meditation ,Millerview,2023-10-10,20:42,Cloudy
Doe,night_activities,Walking the dog,Michelleview,2023-09-25,12:22,Sunny
Charlie,sports_activities,Skiing ,Francesport,2023-10-08,18:06,Cloudy
Mallory,extreme_activities,Stargazing,Richardland,2023-09-23,02:23,Windy
John,physical_activities,Movie Watching,Martinezbury,2023-09-24,02:30,Windy
Eve,home_activities,Walking the dog,Ernestmouth,2023-10-15,21:44,Sunny
Jane,artistic_activities,Writing,Bennettton,2023-09-29,06:28,Cloudy
Alice,outdoor_activities,Bird Watching ,Allisonton,2023-09-25,14:16,Snowy
Alice,outdoor_activities,Bird Watching ,Fuenteston,2023-10-03,06:57,Rainy
John,physical_activities,Basketball,Patriciamouth,2023-10-12,16:32,Rainy
John,physical_activities,Sightseeing ,New Markmouth,2023-09-27,08:23,Windy
Alice,outdoor_activities,Running,West Alexandra,2023-10-07,20:41,Rainy
Charlie,sports_activities,Surfing,Victoriahaven,2023-09-20,19:42,Cloudy
Alice,outdoor_activities,Chess ,Jamesfurt,2023-09-27,14:00,Snowy
Mallory,extreme_activities,Potluck Dinner,East Jacquelinemouth,2023-09-21,03:35,Cloudy
Charlie,sports_activities,Fishing ,Thomasfurt,2023-10-05,14:22,Windy
Mallory,extreme_activities,Skiing ,Markview,2023-10-10,07:53,Windy
Bob,water_activities,Stargazing,New Amanda,2023-09-18,05:12,Sunny
Alice,outdoor_activities,Picnicking ,Lake Bryan,2023-10-15,20:44,Windy
